,barcode,bookable,comments,community,court type,description,facilityid,field type,lighting system,location,maintenance responsibility,operational responsibility,outdoor rec fac type2,park,park ownership,primary use,reference no,service level,status,status date,surface treatment,surface type,work assignment
comments,0.0,0.125,1.0,0.6666666666666667,0.35,0.09090909090909094,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.125,0.1923076923076923,0.15384615384615385,0.1428571428571429,0.0,0.1428571428571429,0.13636363636363635,0.16666666666666663,0.15384615384615385,0.0625,0.09090909090909094,0.20588235294117652,0.16666666666666663,0.23333333333333328
description,0.09090909090909094,0.0,0.09090909090909094,0.09090909090909094,0.18181818181818177,1.0,0.18181818181818177,0.09090909090909094,0.06666666666666665,0.40909090909090906,0.17307692307692313,0.28846153846153844,0.1428571428571429,0.09090909090909094,0.0,0.0,0.20833333333333337,0.15384615384615385,0.18181818181818177,0.0,0.20588235294117652,0.08333333333333337,0.09999999999999998
facilityid,0.09999999999999998,0.0,0.09999999999999998,0.15000000000000002,0.19999999999999996,0.18181818181818177,1.0,0.35,0.1333333333333333,0.19999999999999996,0.17307692307692313,0.23076923076923073,0.19047619047619047,0.09999999999999998,0.1428571428571429,0.09090909090909094,0.08333333333333337,0.07692307692307687,0.09999999999999998,0.09090909090909094,0.23529411764705888,0.33333333333333337,0.1333333333333333
house no,0.0,0.125,0.25,0.11111111111111116,0.30000000000000004,0.045454545454545414,0.0,0.09999999999999998,0.1333333333333333,0.125,0.1923076923076923,0.15384615384615385,0.1428571428571429,0.0,0.1428571428571429,0.09090909090909094,0.29166666666666663,0.15384615384615385,0.0,0.18181818181818177,0.1470588235294118,0.16666666666666663,0.19999999999999996
location,0.125,0.125,0.125,0.2222222222222222,0.19999999999999996,0.40909090909090906,0.19999999999999996,0.09999999999999998,0.23333333333333328,1.0,0.17307692307692313,0.3076923076923077,0.19047619047619047,0.125,0.0714285714285714,0.09090909090909094,0.04166666666666663,0.07692307692307687,0.25,0.09090909090909094,0.17647058823529416,0.16666666666666663,0.23333333333333328
maintenance responsibility,0.09615384615384615,0.09615384615384615,0.11538461538461542,0.15384615384615385,0.09615384615384615,0.17307692307692313,0.13461538461538458,0.13461538461538458,0.17307692307692313,0.09615384615384615,1.0,0.5961538461538461,0.15384615384615385,0.05769230769230771,0.17307692307692313,0.15384615384615385,0.21153846153846156,0.21153846153846156,0.07692307692307687,0.13461538461538458,0.17307692307692313,0.17307692307692313,0.13461538461538458
map page,0.1875,0.0625,0.0,0.0,0.15000000000000002,0.09090909090909094,0.09999999999999998,0.15000000000000002,0.09999999999999998,0.0,0.23076923076923073,0.15384615384615385,0.19047619047619047,0.25,0.1785714285714286,0.2272727272727273,0.04166666666666663,0.11538461538461542,0.0,0.31818181818181823,0.20588235294117652,0.20833333333333337,0.1333333333333333
operational responsibility,0.09615384615384615,0.11538461538461542,0.11538461538461542,0.15384615384615385,0.11538461538461542,0.15384615384615385,0.15384615384615385,0.11538461538461542,0.1923076923076923,0.17307692307692313,0.5961538461538461,1.0,0.25,0.07692307692307687,0.23076923076923073,0.17307692307692313,0.15384615384615385,0.21153846153846156,0.09615384615384615,0.15384615384615385,0.13461538461538458,0.11538461538461542,0.17307692307692313
park name,0.2777777777777778,0.16666666666666663,0.11111111111111116,0.11111111111111116,0.25,0.09090909090909094,0.09999999999999998,0.15000000000000002,0.09999999999999998,0.0,0.21153846153846156,0.23076923076923073,0.16666666666666663,0.4444444444444444,0.4285714285714286,0.31818181818181823,0.08333333333333337,0.1923076923076923,0.0,0.31818181818181823,0.23529411764705888,0.20833333333333337,0.30000000000000004
park ownership,0.25,0.1071428571428571,0.1428571428571429,0.0714285714285714,0.1071428571428571,0.0,0.1428571428571429,0.0357142857142857,0.06666666666666665,0.0714285714285714,0.17307692307692313,0.23076923076923073,0.11904761904761907,0.2857142857142857,1.0,0.2142857142857143,0.0714285714285714,0.0714285714285714,0.0357142857142857,0.0357142857142857,0.11764705882352944,0.1428571428571429,0.19999999999999996
road code,0.5,0.16666666666666663,0.11111111111111116,0.11111111111111116,0.25,0.0,0.0,0.25,0.09999999999999998,0.2222222222222222,0.11538461538461542,0.15384615384615385,0.2142857142857143,0.11111111111111116,0.1071428571428571,0.2272727272727273,0.20833333333333337,0.1923076923076923,0.11111111111111116,0.2272727272727273,0.20588235294117652,0.29166666666666663,0.16666666666666663
service classification,0.09090909090909094,0.045454545454545414,0.09090909090909094,0.11363636363636365,0.09090909090909094,0.2954545454545454,0.18181818181818177,0.13636363636363635,0.13636363636363635,0.2954545454545454,0.23076923076923073,0.23076923076923073,0.13636363636363635,0.045454545454545414,0.13636363636363635,0.11363636363636365,0.15909090909090906,0.40909090909090906,0.15909090909090906,0.20454545454545459,0.31818181818181823,0.2727272727272727,0.25
status,0.0,0.125,0.0625,0.11111111111111116,0.19999999999999996,0.18181818181818177,0.09999999999999998,0.09999999999999998,0.2666666666666667,0.25,0.17307692307692313,0.1923076923076923,0.16666666666666663,0.16666666666666663,0.0714285714285714,0.2272727272727273,0.0,0.11538461538461542,1.0,0.5909090909090908,0.2647058823529411,0.25,0.09999999999999998
status date,0.18181818181818177,0.045454545454545414,0.09090909090909094,0.18181818181818177,0.13636363636363635,0.0,0.09090909090909094,0.13636363636363635,0.23333333333333328,0.09090909090909094,0.17307692307692313,0.1923076923076923,0.16666666666666663,0.09090909090909094,0.0357142857142857,0.045454545454545414,0.0,0.23076923076923073,0.5454545454545454,1.0,0.2647058823529411,0.25,0.09999999999999998
work assignment,0.09999999999999998,0.19999999999999996,0.23333333333333328,0.1333333333333333,0.1333333333333333,0.09999999999999998,0.1333333333333333,0.033333333333333326,0.0,0.23333333333333328,0.13461538461538458,0.17307692307692313,0.1428571428571429,0.09999999999999998,0.19999999999999996,0.16666666666666663,0.16666666666666663,0.1333333333333333,0.06666666666666665,0.09999999999999998,0.2647058823529411,0.16666666666666663,1.0
